Vertices;Edges;Theoretical complexity;vCount;eCount;pqCount;Total Count
10;20;66,44;8.0;15.0;19,51;42,51
10;35;116,27;10.0;35.0;42,03;87,03
10;50;166,10;10.0;50.0;49,78;109,78
10;65;215,93;10.0;65.0;49,58;124,58
10;80;265,75;10.0;80.0;64,34;154,34
20;76;328,47;20.0;76.0;116,68;212,68
20;152;656,93;20.0;152.0;197,79;369,79
20;228;985,40;20.0;228.0;230,78;478,78
20;304;1313,87;20.0;304.0;218,11;542,11
20;380;1642,33;20.0;380.0;274,29;674,29
30;174;853,80;30.0;174.0;256,60;460,60
30;348;1707,60;30.0;348.0;441,29;819,29
30;522;2561,40;30.0;522.0;464,40;1016,40
30;696;3415,20;30.0;696.0;406,18;1132,18
30;870;4268,99;30.0;870.0;483,49;1383,49
40;312;1660,44;40.0;312.0;409,81;761,81
40;624;3320,88;40.0;624.0;679,11;1343,11
40;936;4981,32;40.0;936.0;673,50;1649,50
40;1248;6641,77;40.0;1248.0;727,27;2015,27
40;1560;8302,21;40.0;1560.0;759,45;2359,45
50;490;2765,49;50.0;490.0;746,85;1286,85
50;980;5530,98;50.0;980.0;865,22;1895,22
50;1470;8296,47;50.0;1470.0;884,29;2404,29
50;1960;11061,96;50.0;1960.0;940,41;2950,41
50;2450;13827,45;50.0;2450.0;1028,34;3528,34
