Vertices;Edges;Theoretical complexity;vCount;eCount;pqCount;Total Count
10;20;66,44;10.0;20.0;23,51;53,51
10;35;116,27;10.0;35.0;46,47;91,47
10;50;166,10;10.0;50.0;55,64;115,64
10;65;215,93;10.0;65.0;65,50;140,50
10;80;265,75;10.0;80.0;91,00;181,00
20;76;328,47;20.0;76.0;151,64;247,64
20;152;656,93;20.0;152.0;188,49;360,49
20;228;985,40;20.0;228.0;266,41;514,41
20;304;1313,87;20.0;304.0;276,48;600,48
20;380;1642,33;20.0;380.0;286,53;686,53
30;174;853,80;30.0;174.0;288,99;492,99
30;348;1707,60;30.0;348.0;457,78;835,78
30;522;2561,40;30.0;522.0;396,34;948,34
30;696;3415,20;30.0;696.0;494,91;1220,91
30;870;4268,99;30.0;870.0;542,43;1442,43
40;312;1660,44;40.0;312.0;546,17;898,17
40;624;3320,88;40.0;624.0;618,78;1282,78
40;936;4981,32;40.0;936.0;745,72;1721,72
40;1248;6641,77;40.0;1248.0;706,96;1994,96
40;1560;8302,21;40.0;1560.0;698,79;2298,79
50;490;2765,49;50.0;490.0;879,75;1419,75
50;980;5530,98;50.0;980.0;875,90;1905,90
50;1470;8296,47;50.0;1470.0;872,23;2392,23
50;1960;11061,96;50.0;1960.0;1023,70;3033,70
50;2450;13827,45;50.0;2450.0;1145,30;3645,30
Vertices;Edges;Theoretical complexity;vCount;eCount;pqCount;Total Count
10;20;66,44;9.0;19.0;26,98;54,98
10;35;116,27;10.0;35.0;47,20;92,20
10;50;166,10;10.0;50.0;74,13;134,13
10;65;215,93;10.0;65.0;67,14;142,14
10;80;265,75;10.0;80.0;50,41;140,41
20;76;328,47;20.0;76.0;138,56;234,56
20;152;656,93;20.0;152.0;180,19;352,19
20;228;985,40;20.0;228.0;226,51;474,51
20;304;1313,87;20.0;304.0;228,23;552,23
20;380;1642,33;20.0;380.0;280,14;680,14
30;174;853,80;30.0;174.0;356,83;560,83
30;348;1707,60;30.0;348.0;348,23;726,23
30;522;2561,40;30.0;522.0;416,03;968,03
30;696;3415,20;30.0;696.0;440,10;1166,10
30;870;4268,99;30.0;870.0;453,83;1353,83
40;312;1660,44;40.0;312.0;438,92;790,92
40;624;3320,88;40.0;624.0;549,99;1213,99
40;936;4981,32;40.0;936.0;704,72;1680,72
40;1248;6641,77;40.0;1248.0;676,97;1964,97
40;1560;8302,21;40.0;1560.0;731,33;2331,33
50;490;2765,49;50.0;490.0;807,85;1347,85
50;980;5530,98;50.0;980.0;836,94;1866,94
50;1470;8296,47;50.0;1470.0;931,04;2451,04
50;1960;11061,96;50.0;1960.0;879,87;2889,87
50;2450;13827,45;50.0;2450.0;999,12;3499,12
